source,trial,direction_scope,direction_index,keyword_refusals,kl,attn_cov0.10,attn_cov0.25,attn_cov0.50,attn_cov0.75,attn_mass,attn_energy,attn_centroid,attn_partic,attn_A1,attn_A2,attn_A1_x8,attn_A2_x8,mlp_cov0.10,mlp_cov0.25,mlp_cov0.50,mlp_cov0.75,mlp_mass,mlp_energy,mlp_centroid,mlp_partic,mlp_A1,mlp_A2,mlp_A1_x8,mlp_A2_x8,sum_cov0.10,sum_cov0.25,sum_cov0.50,sum_cov0.75,sum_mass,sum_energy,sum_centroid,sum_partic,sum_A1,sum_A2,sum_A1_x8,sum_A2_x8,mean_cos_in_support,corrected_refusals
iter1_keyword_run,0,global,35.28625933815789,99,0.0038859159685671,18,18,18,18,20.609793235501822,16628471286.560646,37.5327239754276,17.83623079172396,15.095717975508936,7630948841.418984,13.113399811810226,5614215771.885775,8,6,2,0,3.1638385196413066,228217879.2924535,28.4427430927553,6.4442426328471285,1.633449253028918,65108232.75786132,1.4340334534971406,50110070.06292047,22,21,19,18,23.77363175514313,17399399762.646034,36.3230126466913,19.857432952977096,16.729167228537857,7907986562.274679,14.547433265307363,5829372157.698212,0.6622533202171326,
iter1_keyword_run,1,per layer,,89,0.0057059731334447,29,29,29,29,29.458442978304028,14197905618.732653,33.18773280504912,28.860591694635247,29.458442832467213,14197905155.851131,25.74120015409097,11000474589.858246,13,7,0,0,3.385039815801351,1072530688.8781308,41.83253506421893,12.606942314100031,3.3850397896856794,1072530633.5786598,2.955733276790661,819449482.8353682,29,29,29,29,32.84348279410538,22250597794.190376,34.07871626226857,28.49185894902112,32.84348262215289,22250596935.12476,28.696933430881632,17185985120.526043,1.0,
iter1_keyword_run,2,per layer,,80,0.0435309521853923,37,37,37,37,47.74899123994185,25060436658.577667,29.748669670043324,36.665983155701866,47.74899110625368,25060435832.099228,40.28735637314735,19394088977.61436,0,0,0,0,0.2207157324173241,567264.7389452094,29.988605275623488,35.90996847736497,0.2207157316989152,567264.7185736225,0.1872124827436739,438230.7008640625,37,37,37,37,47.96970697235918,25299246752.175827,29.74977364933069,36.66586042914874,47.96970683795259,25299245917.45825,40.47456885589102,19578739289.645515,1.0,
iter1_keyword_run,3,global,26.71310013858545,99,0.0061843274161219,11,10,7,5,7.122913581431355,6485406863.099871,42.607768961441664,9.6808253176646,1.9292029020944408,421615248.64973104,1.3260015447798073,195537072.6965025,28,28,0,0,11.540998890468988,2537544090.809347,33.87122489206866,27.94086084588317,5.546047125823781,302441260.0023679,4.405184566952552,172684956.1961624,28,28,11,9,18.663912471900343,16177594651.743525,37.20544800848119,21.52057582838504,7.475250027918222,1201460753.8389716,5.731186111732359,591599096.58077,0.4876885414123535,
iter1_keyword_run,4,per layer,,87,0.0232132021337747,35,35,35,32,33.88752925735045,15254530638.017933,31.13072367278321,34.37149048986517,33.887529158476745,15254530118.339188,29.0934436868,11813327496.507845,11,11,11,1,7.744065637818802,1171220104.3525383,31.000146187902413,10.983742712390857,7.744065723219623,1171220146.3170383,6.836749464602901,919182517.010721,35,35,35,32,41.63159489516926,19989395783.911125,31.10643441323684,31.46855742447296,41.63159488169636,19989395440.362946,35.930193151402904,15530834144.198725,1.0,
iter1_keyword_run,5,per layer,,100,0.0017024590633809,16,16,16,13,16.54042494429521,5948066602.822002,33.63321566953142,15.138180131919798,16.54042508738637,5948066709.017778,14.672819954746464,4714624091.911456,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16,16,16,13,16.54042494429521,5948066602.822002,33.63321566953142,15.138180131919798,16.54042508738637,5948066709.017778,14.672819954746464,4714624091.911456,1.0,
iter1_keyword_run,6,global,29.901351072329795,91,0.0160616114735603,33,33,33,33,36.56096508582683,17609766560.06809,31.49376334071682,32.68908552778984,17.948464614124145,3937367919.8744473,15.07633069810136,2639908184.996176,46,46,24,0,23.036267878768484,3429169571.8957634,24.94200458839176,45.76726695721812,8.416458484681693,764486330.9507568,7.18269767069966,513992997.959753,46,46,33,33,59.597232964595314,36566314299.33937,28.961295603745075,39.2846477576645,26.36492309880584,8168119381.265058,22.25902836880102,5480950599.885878,0.347910463809967,
iter1_keyword_run,7,per layer,,71,0.2608214914798736,37,37,37,28,34.757925592595825,10219913754.186752,29.13904659524229,35.21541009826653,34.75792549458858,10219913522.54514,29.504092429154632,7945040340.896427,32,32,32,24,29.214516019012137,9985537017.586464,31.461753390061865,30.76212750299185,29.21451594938329,9985536788.7634,25.4632658853134,7772102080.335382,37,37,37,32,63.97244161160796,40384497465.6839,30.199765135214545,33.66470784825742,63.972441443971874,40384496545.19746,54.96735831446803,31415708752.416965,1.0,
iter1_keyword_run,8,per layer,,99,0.0029953604098409,3,3,3,3,2.8477877141053507,4319122501.765413,43.9935485844001,2.988519857090981,2.8477875432689035,4319122064.403424,2.493561463764326,3300817862.854389,14,14,11,7,10.33698849914565,9137440528.011974,41.57095830686435,13.00324924396833,10.336988443183262,9137440061.34053,9.038672364254754,7000465317.531077,14,14,11,7,13.184776213251002,22350224791.474903,42.0942150324312,10.559783090585986,13.184775986452166,22350223033.445683,11.532233828019082,17090200891.730034,1.0,
iter1_keyword_run,9,per layer,,100,0.0035488177090883,8,6,4,2,4.13646783402878,699266108.5378332,32.747831078828135,6.348397412908146,4.136467929486464,699266131.0239667,3.682333693767873,555482354.426223,20,18,0,0,6.667871882678147,1642441757.9748204,37.990545397207455,19.389730037200614,6.667871887788108,1642441694.6496043,5.877696028737409,1277746694.256883,20,19,7,5,10.804339716706927,3016054864.3485303,35.983359422904535,15.492492618038222,10.804339817274572,3016054854.81092,9.560029722505282,2367942321.223318,1.0,
