claim_id,draft_line,section_artifact,cited_path_as_written,resolved_path_relative_to_3_invention_loop,status,known_miss_positive_control,check
L17:iter_1/gen_report_text/gen_report_text/report.md,17,,iter_1/gen_report_text/gen_report_text/report.md,iter_1/gen_report_text/gen_report_text/report.md,RESOLVES,False,
L52:iter_1/gen_report_text/gen_report_text/report.md,52,art_vzhOPupFwE4M,iter_1/gen_report_text/gen_report_text/report.md,iter_1/gen_report_text/gen_report_text/report.md,RESOLVES,False,
L136:iter_1/gen_report_text/gen_report_text/report.md,136,art_jxrJNc9o4QSp,iter_1/gen_report_text/gen_report_text/report.md,iter_1/gen_report_text/gen_report_text/report.md,RESOLVES,False,
L168:results/t1_harmful.json,168,art_a4VkEvYRquBO,results/t1_harmful.json,iter_2/gen_art/gen_art_experiment_5/results/analysis/tables.md,RESOLVES_AFTER_REWRITE,True,"markers 70.3,95.3,24.6 present"
L183:results/t1_harmful.json,183,art_a4VkEvYRquBO,results/t1_harmful.json,iter_2/gen_art/gen_art_experiment_5/results/analysis/tables.md,RESOLVES_AFTER_REWRITE,True,"markers 70.3,95.3,24.6 present"
L263:results/flip_analysis.json,263,art_a4VkEvYRquBO,results/flip_analysis.json,iter_4/gen_art/gen_art_evaluation_2/results/flip_analysis.json,RESOLVES_AFTER_REWRITE,True,markers slope present
L351:results/gap_table.json,351,art_KFZCxJcrr84K,results/gap_table.json,iter_2/gen_art/gen_art_experiment_6/results/analysis_results.json,RESOLVES_AFTER_REWRITE,True,"markers 0.147,0.968 present"
L489:results/dev_index.json,489,art_ex4hbgThhJaL,results/dev_index.json,iter_3/gen_art/gen_art_experiment_9/results/redundancy_index.json,RESOLVES_AFTER_REWRITE,True,markers index present
L502:results/matched_energy_groups.json,502,art_ex4hbgThhJaL,results/matched_energy_groups.json,iter_3/gen_art/gen_art_experiment_9/results/report_tables.md,RESOLVES_AFTER_REWRITE,True,"markers 16.7,-0.34 present"
L535:results/dev_index.json,535,art_xLy2vVlI7OEL,results/dev_index.json,iter_3/gen_art/gen_art_experiment_10/results/redundancy_index.json,RESOLVES_AFTER_REWRITE,True,markers index present
L537:results/panel_summary.json,537,art_xLy2vVlI7OEL,results/panel_summary.json,iter_3/gen_art/gen_art_experiment_10/results/report_tables.md,RESOLVES_AFTER_REWRITE,True,"markers 0.718,0.325 present"
L578:corrected_numbers_iter4.json,578,art_0XmNBGkzsJc_,corrected_numbers_iter4.json,iter_4/gen_art/gen_art_evaluation_2/results/corrected_numbers_iter4.json,RESOLVES_AFTER_REWRITE,False,unique repo-wide basename hit
L586:results/s5x_headline.json,586,art_0XmNBGkzsJc_,results/s5x_headline.json,iter_3/gen_art/gen_art_experiment_11/results/headline_table.csv,RESOLVES_AFTER_REWRITE,True,"markers 0.83,0.41 present"
L612:results/miscalibration_table.csv,612,art_0XmNBGkzsJc_,results/miscalibration_table.csv,iter_3/gen_art/gen_art_experiment_11/results/miscalibration_table.csv,RESOLVES,False,
L622:results/dev_indices.json,622,art_kfCCWf7o8eJ9,results/dev_indices.json,iter_3/gen_art/gen_art_experiment_12/results/indices.json,RESOLVES_AFTER_REWRITE,True,markers 0.75 present
L630:analysis.json,630,art_kfCCWf7o8eJ9,analysis.json,iter_3/gen_art/gen_art_experiment_12/results/analysis.json,RESOLVES_AFTER_REWRITE,False,
L661:corrected_numbers_iter4.json,661,art_Z3I1K3VnFZuz,corrected_numbers_iter4.json,iter_4/gen_art/gen_art_evaluation_2/results/corrected_numbers_iter4.json,RESOLVES_AFTER_REWRITE,False,unique repo-wide basename hit
L696:results/report_tables.md,696,art_NpZ_nW6qgSKD,results/report_tables.md,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,RESOLVES,False,
L700:results/report_tables.md,700,art_NpZ_nW6qgSKD,results/report_tables.md,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,RESOLVES,False,
L712:results/report_tables.md,712,art_NpZ_nW6qgSKD,results/report_tables.md,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,RESOLVES,False,
L725:results/report_tables.md,725,art_NpZ_nW6qgSKD,results/report_tables.md,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,RESOLVES,False,
L727:results/report_tables.md,727,art_NpZ_nW6qgSKD,results/report_tables.md,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,RESOLVES,False,
L735:results/report_tables.md,735,art_bxpIbe7-nSvR,results/report_tables.md,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,RESOLVES,False,
L744:results/report_tables.md,744,art_bxpIbe7-nSvR,results/report_tables.md,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,RESOLVES,False,
L748:results/report_tables.md,748,art_bxpIbe7-nSvR,results/report_tables.md,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,RESOLVES,False,
L750:results/report_tables.md,750,art_bxpIbe7-nSvR,results/report_tables.md,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,RESOLVES,False,
L755:results/report_tables.md,755,art_bxpIbe7-nSvR,results/report_tables.md,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,RESOLVES,False,
L767:results/analysis.json,767,art_F46S3uP80BUa,results/analysis.json,iter_4/gen_art/gen_art_experiment_15/results/analysis.json,RESOLVES,False,
L769:results/analysis.json,769,art_F46S3uP80BUa,results/analysis.json,iter_4/gen_art/gen_art_experiment_15/results/analysis.json,RESOLVES,False,
L788:results/reselection_table.csv,788,art_F46S3uP80BUa,results/reselection_table.csv,iter_4/gen_art/gen_art_experiment_15/results/reselection_table.csv,RESOLVES,False,
L800:results/analysis.json,800,art_F46S3uP80BUa,results/analysis.json,iter_4/gen_art/gen_art_experiment_15/results/analysis.json,RESOLVES,False,
L808:results/judge_calibration.json,808,art_hBuck7q0dnxG,results/judge_calibration.json,iter_4/gen_art/gen_art_evaluation_2/results/judge_calibration.json,RESOLVES,False,
L810:results/flip_analysis.json,810,art_hBuck7q0dnxG,results/flip_analysis.json,iter_4/gen_art/gen_art_evaluation_2/results/flip_analysis.json,RESOLVES,False,
L821:results/curve_fits.json,821,art_hBuck7q0dnxG,results/curve_fits.json,iter_4/gen_art/gen_art_evaluation_2/results/curve_fits.json,RESOLVES,False,
L823:results/asr_summary.json,823,art_hBuck7q0dnxG,results/asr_summary.json,iter_4/gen_art/gen_art_evaluation_2/results/asr_summary.json,RESOLVES,False,
L825:results/corrected_numbers_iter4.json,825,art_hBuck7q0dnxG,results/corrected_numbers_iter4.json,iter_4/gen_art/gen_art_evaluation_2/results/corrected_numbers_iter4.json,RESOLVES,False,
L835:results/quant_confound.json,835,art_hBuck7q0dnxG,results/quant_confound.json,iter_4/gen_art/gen_art_evaluation_2/results/quant_confound.json,RESOLVES,False,
L842:results/pending_human_review_iter4.md,842,art_hBuck7q0dnxG,results/pending_human_review_iter4.md,iter_4/gen_art/gen_art_evaluation_2/results/pending_human_review_iter4.md,RESOLVES,False,
L848:results/positioning_positive.md,848,art_sZ5w0yoY9o6L,results/positioning_positive.md,iter_4/gen_art/gen_art_research_1/results/positioning_positive.md,RESOLVES,False,
L850:results/positioning_negative.md,850,art_sZ5w0yoY9o6L,results/positioning_negative.md,iter_4/gen_art/gen_art_research_1/results/positioning_negative.md,RESOLVES,False,
L885:results/pending_human_review_iter4.md,885,,results/pending_human_review_iter4.md,iter_4/gen_art/gen_art_evaluation_2/results/pending_human_review_iter4.md,RESOLVES_AFTER_REWRITE,False,unique repo-wide basename hit
