source,cell_id,language,role,arm_kind,n,invalid_share,empty_share,truncation_share,hit_cap_share,rep3_max_frac_mean,rep3_max_frac_p95,distinct3_mean,glotlid_line_consistency,glotlid_all_lines_target_share,stored_lang_ok_mean,glotlid_provenance
exp10,CORE_trial88,en,benign,shipped_edit,40,0.0,0.0,0.0,0.0,0.01552369033813263,0.02354341736694678,0.9938444386443269,0.6295238095238095,0.075,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,CORE_trial88,en,harmful,shipped_edit,111,0.0,0.0,0.46846846846846846,0.6216216216216216,0.012397592869990337,0.02259959141981614,0.9904437760594251,0.6695934195934196,0.08108108108108109,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,CORE_trial88,sl,benign,shipped_edit,40,0.0,0.0,0.0,0.0,0.02489565461062692,0.03707197763801537,0.9871091751329646,0.9379166666666666,0.775,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,CORE_trial88,sl,harmful,shipped_edit,111,0.0,0.0,0.5495495495495496,0.6126126126126126,0.020790685338749938,0.03773584905660377,0.9726119596730896,0.9041219791219791,0.6486486486486487,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_ALL,en,benign,strided,40,0.0,0.0,0.0,0.0,0.015000827207596237,0.0244365544921272,0.9946042193539325,0.6744940476190476,0.175,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_ALL,en,harmful,strided,111,0.0,0.0,0.2882882882882883,0.3783783783783784,0.01708360294062113,0.024144966964632725,0.9921552213999938,0.8212033462033461,0.4954954954954955,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_ALL,sl,benign,strided,40,0.0,0.0,0.0,0.0,0.02267433646794992,0.03639730639730639,0.9913972772149118,0.8904166666666665,0.725,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_ALL,sl,harmful,strided,111,0.0,0.0,0.3333333333333333,0.36036036036036034,0.05160369305332032,0.16666666666666666,0.9862055273635592,0.9635885885885886,0.9009009009009009,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_B2,en,benign,band,40,0.0,0.0,0.0,0.0,0.015436799378654165,0.025332684193443686,0.9926082344575351,0.6707142857142857,0.1,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_B2,en,harmful,band,111,0.0,0.0,0.26126126126126126,0.3153153153153153,0.027234596287949452,0.14285714285714285,0.9950107063759748,0.8666702416702415,0.6306306306306306,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_B2,sl,benign,band,40,0.0,0.0,0.0,0.0,0.02186554850036857,0.03639730639730639,0.9946922864843696,0.8995833333333334,0.675,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_B2,sl,harmful,band,111,0.0,0.0,0.2972972972972973,0.35135135135135137,0.05600318032264586,0.15476190476190477,0.9836949341204259,0.9609395109395109,0.8648648648648649,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_B3,en,benign,band,40,0.0,0.0,0.0,0.0,0.015016689976743177,0.02361876396128071,0.993558800695614,0.6667261904761904,0.125,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
exp10,E1_B3,en,harmful,band,111,0.0,0.0,0.4144144144144144,0.5405405405405406,0.012544367235494031,0.02247191011235955,0.9926928130766531,0.7895574145574146,0.3963963963963964,1.0,"cis-lmu/glotlid model.bin (line-level, lines with >= 12 letters)"
