source,model,cell_id,n_en,n_sl,gap_workhorse_strict,gap_workhorse_strict_ci,gap_workhorse_strict_excl0,gap_workhorse_broad,gap_workhorse_broad_ci,gap_workhorse_broad_excl0,gap_keyword,gap_keyword_ci,gap_keyword_excl0,gap_classifier,gap_classifier_ci,gap_classifier_excl0,gap_rogan_gladen,gap_rogan_gladen_ci,gap_rogan_gladen_excl0,judge_sensitive_vs,JUDGE_SENSITIVE,gap_ci_note,DEFINITION_SENSITIVE,KEYWORD_DISAGREES
exp10,gams,CORE_trial88,111,111,-0.17117117117117117,"[-0.261, -0.081]",True,-0.20720720720720726,"[-0.324, -0.090]",True,-0.1981981981981982,"[-0.279, -0.126]",True,-0.009009009009009009,"[-0.027, 0.000]",False,-0.15111471454726852,"[-0.216, -0.090]",True,classifier,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,False
exp10,gams,E1_ALL,111,111,0.05405405405405406,"[-0.072, 0.180]",False,0.09009009009009017,"[-0.018, 0.189]",False,-0.6666666666666666,"[-0.757, -0.577]",True,0.09909909909909914,"[-0.027, 0.225]",False,0.09942956993003416,"[-0.009, 0.216]",False,keyword,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E1_B2,111,111,0.018018018018018056,"[-0.099, 0.135]",False,0.018018018018018056,"[-0.072, 0.108]",False,-0.7837837837837838,"[-0.856, -0.703]",True,0.0,"[-0.126, 0.135]",False,0.058819919267200205,"[-0.063, 0.171]",False,keyword,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E1_B3,111,111,-0.009009009009009028,"[-0.144, 0.108]",False,0.009009009009009028,"[-0.099, 0.126]",False,-0.5585585585585585,"[-0.649, -0.459]",True,0.1891891891891892,"[0.063, 0.315]",True,0.026176191335850363,"[-0.108, 0.153]",False,keyword;classifier,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E1_PC_ALL,111,111,0.018018018018018056,"[-0.036, 0.081]",False,-0.009009009009009028,"[-0.063, 0.045]",False,-0.9279279279279279,"[-0.973, -0.874]",True,0.0,"[-0.063, 0.054]",False,0.05389625725711633,"[0.018, 0.099]",True,keyword;rogan_gladen,True,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E1_RND_ALL,111,111,0.0,"[-0.063, 0.063]",False,-0.018018018018018056,"[-0.063, 0.027]",False,-0.918918918918919,"[-0.964, -0.865]",True,-0.009009009009009028,"[-0.072, 0.054]",False,0.04225200400518503,"[0.009, 0.090]",True,keyword;rogan_gladen,True,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E1_STR2,111,111,0.072072072072072,"[-0.027, 0.180]",False,0.009009009009009028,"[-0.081, 0.090]",False,-0.7387387387387387,"[-0.811, -0.657]",True,0.10810810810810811,"[-0.018, 0.225]",False,0.12172211338347305,"[0.018, 0.225]",True,keyword;rogan_gladen,True,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E1_STR4,111,111,0.009009009009009028,"[-0.072, 0.090]",False,0.009009009009008917,"[-0.054, 0.081]",False,-0.8738738738738738,"[-0.928, -0.811]",True,0.04504504504504503,"[-0.036, 0.126]",False,0.051490066334763385,"[-0.018, 0.126]",False,keyword,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E2_ALL,111,111,0.018018018018018,"[-0.117, 0.144]",False,0.07207207207207211,"[-0.045, 0.171]",False,-0.5405405405405406,"[-0.631, -0.450]",True,0.06306306306306303,"[-0.054, 0.162]",False,0.05420841322410863,"[-0.063, 0.180]",False,keyword,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E2_B2,111,111,-0.11711711711711709,"[-0.243, 0.009]",False,-0.07207207207207211,"[-0.180, 0.027]",False,-0.6216216216216216,"[-0.712, -0.532]",True,0.04504504504504503,"[-0.081, 0.171]",False,-0.09883310964788672,"[-0.225, 0.027]",False,keyword,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E2_B3,111,111,-0.14414414414414417,"[-0.279, -0.018]",True,-0.05405405405405406,"[-0.171, 0.054]",False,-0.4954954954954955,"[-0.586, -0.396]",True,-0.04504504504504503,"[-0.135, 0.054]",False,-0.12972764563185718,"[-0.279, -0.009]",True,workhorse_broad;classifier,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),True,False
exp10,gams,E2_PC_ALL,111,111,-0.009009009009009028,"[-0.054, 0.036]",False,-0.009009009009009028,"[-0.054, 0.036]",False,-0.9279279279279279,"[-0.973, -0.883]",True,0.009009009009009028,"[-0.054, 0.063]",False,0.02331975617266968,"[0.000, 0.054]",False,keyword,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
exp10,gams,E2_RND_ALL,111,111,-0.009009009009009028,"[-0.072, 0.054]",False,-0.009009009009009028,"[-0.054, 0.036]",False,-0.9369369369369369,"[-0.973, -0.892]",True,-0.018018018018018056,"[-0.072, 0.036]",False,0.031900819527274527,"[-0.009, 0.081]",False,keyword,False,binomial item bootstrap of the (corrected) rates; the Rogan-Gladen gap CI does not propagate Se/Sp uncertainty (the per-cell rg_ci_lo/hi columns in judge_sensitivity_iter4.csv do),False,True
