00:01:54|INFO   |tier 1: 3935 cases in 394 batches
00:01:55|INFO   |batched judging: 394 calls; spent $0.455; key remaining 6.118344; stop at $5.77
00:04:02|INFO   |batched: 3935 cases judged; cumulative spend $2.751; stopped=False
00:04:03|INFO   |tier 2: 2916 cases in 292 batches
00:04:03|INFO   |batched judging: 292 calls; spent $2.751; key remaining 1.59272; stop at $3.54
00:04:42|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.01 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:42|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.02 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:42|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.02 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:42|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.02 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.03 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.03 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.03 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:43|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:44|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:44|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:44|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:44|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:44|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:44|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:44|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.04 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
00:04:45|WARNING|batch attempt 0: {'error': {'code': 'aii_run_budget_exhausted', 'message': "AI Inventor per-run OpenRouter budget reached for Test idea: $7.05 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
